VES_no ,bh_no,lat,lon,elevation,swl,water level,bh_depth,curve_type,yield_l_sec
1,1,7.856833333,6.096583333,433,8,425,60,H,1.3
2,2,7.844583333,6.094055556,441,9,432,90,H,1.1
3,3,7.842388889,6.086194444,437,9,428,80,H,1.2
4,4,7.825166667,6.0765,436,7,429,80,H,1.2
5,5,7.825027778,6.061166667,439,9,430,80,HA,1.4
6,6,7.819472222,6.069527778,435,5,430,60,H,1.3
7,7,7.847055556,6.155666667,501,7,494,80,H,1.2
8,8,7.845361111,6.145388889,497,10,487,100,H,1.1
9,9,7.852916667,6.141222222,497,9,488,90,H,1.1
10,10,7.841777778,6.114805556,459,8,451,120,H,0.8
11,11,7.851472222,6.086222222,447,7,440,60,QH,1.5
12,12,7.854277778,6.092861111,446,8,438,60,QH,1.5
13,13,7.841777778,6.09175,447,9,438,120,H,0.9
14,14,7.840944444,6.087611111,445,6,439,80,H,1.2
15,15,7.840361111,6.068138889,433,7,426,80,H,1.2
16,16,7.843166667,6.085666667,437,8,439,60,QH,1.4
17,17,7.839027778,6.086222222,448,7,441,70,QH,1.3
18,18,7.852888889,6.086194444,447,6,441,60,QH,1.7
19,19,7.828722222,6.077861111,437,6,431,70,QH,1.2
20,20,7.83625,6.075083333,439,9,430,70,QH,1.4
21,21,7.825111111,6.087583333,443,8,435,90,H,1.2
22,22,7.814833333,6.069583333,442,7,433,90,QH,1.8
23,23,7.827888889,6.057944444,429,7,422,80,H,1.2
24,24,7.817888889,6.065361111,426,6,420,80,H,1.2
25,25,7.825944444,6.055722222,429,7,422,70,H,1.6
26,26,7.843166667,6.084833333,395,9,386,80,H,1.3
27,27,7.846472222,6.139,499,9,410,120,H,1
28,28,7.830638889,6.085638889,399,8,391,90,H,1.3
29,29,7.829333333,6.082333333,445,11,434,60,HA,1.8
30,30,7.852916667,6.091777778,418,8,410,90,H,1.6
31,31,7.818166667,6.091694444,449,9,440,80,H,0.9
32,32,7.841694444,6.089361111,445,9,436,60,QH,1.9
33,33,7.84675,6.086166667,448,8,440,60,H,2.1
34,34,7.817861111,6.067583333,398,11,387,140,H,0.8
35,35,7.830111111,6.081194444,398,9,389,100,H,1.1
36,36,7.827861111,6.086194444,397,9,388,120,A,0.9
37,37,7.830111111,6.067305556,424,11,413,80,H,1.1
38,38,7.827861111,6.069555556,433,7,426,60,H,1.4
39,39,7.831916667,6.083972222,453,8,445,50,QH,1.9
40,40,7.824555556,6.077305556,424,8,416,60,HA,1.6
41,41,7.8315,6.091722222,418,11,407,120,H,1.2
